,Name,Area,City,Cuisine,Price for 2,Walk in Offer,Rating,Average distance from City-Center,Type of Dining
1316,Roots Of India," Times Square, Marol", Mumbai,"North Indian, Asian, Chinese, Biryani, Mughlai, Pizza, Desserts, Beverages",2000.0,10.0,4.2,10.5,Regional Dining
1317,Bombay Martini, Powai, Mumbai,"Chinese, Fast Food, North Indian, Biryani, Desserts, Beverages",1400.0,15.0,4.3,12.3,Thematic Dining
1318,The Brooks Bistro, Malad West, Mumbai,"Pizza, Burger, Fast Food, Coffee",600.0,20.0,4.5,18.0,Casual Dining
1319,Mulk, Veera Desai Area, Mumbai,"Street Food, North Indian, Kebab, Mughlai, Biryani, BBQ, Beverages, Desserts",1800.0,10.0,4.6,13.8,Other
1321,Bombay Republic, Marol, Mumbai,"Asian, Oriental, North Indian, Italian, Cantonese, Beverages, Chinese, Bar Food",1000.0,15.0,4.3,9.7,Thematic Dining
1322,Asia Kitchen By Mainland China, Kohinoor Square Mall, Mumbai,"Chinese, Sushi, Asian, Rolls, Seafood, Desserts, Beverages",1600.0,15.0,4.6,1.8,Thematic Dining
1323,1441 Pizzeria, Fort, Mumbai,"Pizza, Pasta, Italian, Desserts, Beverages",1400.0,15.0,4.5,10.3,Casual Dining
1324,Yoko Sizzlers, Santacruz West, Mumbai,"Chinese, Burger, Sandwich, Pizza, Seafood, Fast Food, Desserts, Beverages",2500.0,10.0,4.3,6.9,Thematic Dining
1325,Nosh & Beyond, Marol, Mumbai,"Continental, Italian, Mexican, Middle Eastern, North Indian, Salad, Desserts, Beverages",1200.0,10.0,4.6,10.2,Thematic Dining
1326,Sorozai - Goan Bar & Restaurant," Versova, Andheri West", Mumbai,"Bar Food, Goan, Seafood, Mexican, Salad",1200.0,10.0,4.4,13.4,Thematic Dining
1327,Silk Route, Juhu, Mumbai,"North Indian, Continental, Asian, Bar Food, Italian, Middle Eastern, Beverages",1400.0,20.0,4.2,10.6,Regional Dining
1328,Cafe Crema - Peninsula Grand Hotel, Sakinaka, Mumbai,"North Indian, Pizza, Sushi, Chinese, Asian, Pasta, Desserts, Beverages",1400.0,15.0,4.3,10.1,Regional Dining
1329,Effingut, Colaba, Mumbai,"Mexican, Continental, North Indian, Beverages",3000.0,10.0,4.4,10.7,Specialty Dining
1330,Corkage & Co., Powai, Mumbai,"American, Andhra, Asian, Arabian, Afghani, Biryani",1000.0,10.0,4.3,11.7,Thematic Dining
1331,Buzz N Banter, Kopar Khairane, Navi Mumbai,"Chinese, North Indian, Biryani, Italian, South Indian, Seafood, Kebab",1000.0,10.0,4.5,19.7,Thematic Dining
1332,Sigree, Vashi, Navi Mumbai,"North Indian, Mughlai, Kebab, Biryani, Fast Food, Desserts, Beverages",2000.0,10.0,4.1,15.6,Regional Dining
1334,Gosssip Corner, Borivali West, Mumbai,"Cafe, Italian, Fast Food, Salad, Desserts, Beverages",1200.0,10.0,3.9,24.7,Casual Dining
1335,Thai Naam," The Orb, Marol", Mumbai,"Thai, Asian, Chinese, Desserts",2500.0,15.0,4.9,9.7,Specialty Dining
1336,Rasoi Kitchen & Bar, Khar, Mumbai,"North Indian, Seafood, Chinese, Maharashtrian, Asian, Desserts",1800.0,15.0,4.5,5.8,Regional Dining
1337,"Nazaara , Marriott", Turbhe, Navi Mumbai,"Awadhi, North Indian, Seafood, Desserts, Modern Indian, Beverages, Biryani, Continental",2500.0,15.0,4.4,18.1,Other
1338,Casper's Bar And Kitchen," Satra Plaza, Vashi", Navi Mumbai,"Bar Food, North Indian, Biryani, Oriental, Salad, Pizza, Desserts, Beverages",1750.0,15.0,4.3,17.4,Thematic Dining
1473,The Earth Plate - Sahara Star," Sahara Star, Vile Parle East", Mumbai,"Italian, Asian, Mediterranean, North Indian",5000.0,25.0,4.3,8.7,Fine Dining
1474,Sirocco," Versova, Andheri West", Mumbai,"Finger Food, North Indian, Pizza, Pasta, Salad, Chinese, Coffee, Beverages",1800.0,10.0,4.1,14.1,Thematic Dining
1475,Shree Gomateshwara Bhavan, Malad West, Mumbai,"South Indian, Fast Food",500.0,15.0,3.9,18.0,Regional Dining
1476,Òsteria, Veera Desai Area, Mumbai,"Continental, European, Italian, Mexican, Pizza, Asian, Desserts, American",2000.0,15.0,4.5,13.4,Thematic Dining
1478,La Veggie, Chowpatty, Mumbai,"North Indian, Continental, Chinese, Italian, Mexican, Pizza, Pasta, Beverages",1700.0,10.0,4.1,8.2,Regional Dining
1479,Rasoi, Dadar East, Mumbai,"North Indian, Seafood, Chinese, Desserts, Beverages, Malwani, Asian, Maharashtrian",1800.0,15.0,4.4,1.2,Regional Dining
1480,Something's Fishy - The International By Tunga," Tunga International, Mahakali", Mumbai,"North Indian, Asian, Continental, Seafood, Oriental, Chinese, Desserts, Beverages",2500.0,10.0,4.3,11.2,Regional Dining
1481,Makabo, Kandivali West, Mumbai,"Chinese, North Indian, Pizza, Rolls, Beverages",1750.0,10.0,4.3,21.1,Thematic Dining
1482,D'aromas Coffee, Malad West, Mumbai,"Italian, Burger, Sandwich, Street Food, Shake, Tea",750.0,20.0,4.4,19.7,Fine Dining
1483,Aqua, CBD-Belapur, Navi Mumbai,"North Indian, Mediterranean, Sandwich, Wraps, Burger, Desserts",1500.0,25.0,4.3,19.0,Regional Dining
1484,Uttam Da Dhaba," Uttam Nivas, Marol ", Mumbai,"North Indian, Mughlai, Biryani, Chinese, Sichuan, Seafood",700.0,10.0,4.1,11.2,Regional Dining
1485,Global Buffet - Svenska Design Hotel," Svenska Design Hotel, Andheri West", Mumbai,"Continental, North Indian, Chinese",2500.0,40.0,4.1,13.5,Thematic Dining
1486,Barley Bistro & Bar, Malad West, Mumbai,"North Indian, Biryani, Asian, Continental, Italian, Fast Food, Desserts",1000.0,10.0,4.3,18.5,Regional Dining
1487,Si Nonna’s – The Original Sourdough Pizza," Fun Republic Mall, Veera Desai Area", Mumbai,"Pizza, Italian, Cafe",1200.0,10.0,4.6,13.3,Casual Dining
1488,Imlee The Chat Gali by Neeti Goel & Curly Tales," Pali Hill, Bandra West", Mumbai,"Street Food, Desserts, Beverages",300.0,10.0,2.9,5.4,Other
1489,The Coconut Boy," Pali Hill, Bandra West", Mumbai,"Goan, Portuguese",1000.0,10.0,4.3,5.6,Regional Dining
1490,Sannidhi Bar and Kitchen, Kandivali West, Mumbai,"Continental, Chinese, North Indian, Beverages, Pizza, Biryani, Pasta",1200.0,10.0,4.4,20.7,Thematic Dining
1491,Madras Diaries," Linking Road, Bandra West", Mumbai,"South Indian, Maharashtrian, Desserts",700.0,10.0,3.9,5.3,Regional Dining
1492,Shy," Cubic Mall, Chembur", Mumbai,"Continental, Asian, Italian, North Indian, Chinese, Desserts",1800.0,10.0,4.4,5.8,Thematic Dining
